Day,Bitcoin
2021-10-04,40
2021-10-05,47
2021-10-06,59
2021-10-07,49
2021-10-08,45
2021-10-09,40
2021-10-10,40
2021-10-11,49
2021-10-12,50
2021-10-13,43
2021-10-14,46
2021-10-15,66
2021-10-16,58
2021-10-17,48
2021-10-18,55
2021-10-19,64
2021-10-20,79
2021-10-21,75
2021-10-22,60
2021-10-23,47
2021-10-24,45
2021-10-25,52
2021-10-26,53
2021-10-27,56
2021-10-28,52
2021-10-29,47
2021-10-30,40
2021-10-31,41
2021-11-01,42
2021-11-02,45
2021-11-03,41
2021-11-04,42
2021-11-05,40
2021-11-06,35
2021-11-07,37
2021-11-08,53
2021-11-09,58
2021-11-10,56
2021-11-11,47
2021-11-12,47
2021-11-13,42
2021-11-14,43
2021-11-15,44
2021-11-16,57
2021-11-17,50
2021-11-18,52
2021-11-19,54
2021-11-20,42
2021-11-21,40
2021-11-22,46
2021-11-23,48
2021-11-24,47
2021-11-25,43
2021-11-26,54
2021-11-27,44
2021-11-28,43
2021-11-29,46
2021-11-30,47
2021-12-01,42
2021-12-02,40
2021-12-03,41
2021-12-04,96
2021-12-05,67
2021-12-06,63
2021-12-07,54
2021-12-08,49
2021-12-09,49
2021-12-10,48
2021-12-11,43
2021-12-12,42
2021-12-13,50
2021-12-14,53
2021-12-15,49
2021-12-16,44
2021-12-17,44
2021-12-18,41
2021-12-19,38
2021-12-20,45
2021-12-21,43
2021-12-22,43
2021-12-23,42
2021-12-24,44
2021-12-25,41
2021-12-26,40
2021-12-27,41
2021-12-28,43
2021-12-29,43
2021-12-30,41
2021-12-31,39
2022-01-01,38
2022-01-02,38
2022-01-03,41
2022-01-04,39
2022-01-05,43
2022-01-06,62
2022-01-07,64
2022-01-08,56
2022-01-09,50
2022-01-10,54
2022-01-11,51
2022-01-12,49
2022-01-13,45
2022-01-14,43
2022-01-15,38
2022-01-16,37
2022-01-17,39
2022-01-18,41
2022-01-19,40
2022-01-20,42
2022-01-21,80
2022-01-22,100
2022-01-23,73
2022-01-24,93
2022-01-25,68
2022-01-26,67
2022-01-27,59
2022-01-28,55
2022-01-29,48
2022-01-30,44
2022-01-31,47
2022-02-01,48
2022-02-02,46
2022-02-03,45
2022-02-04,48
2022-02-05,51
2022-02-06,43
2022-02-07,54
2022-02-08,51
2022-02-09,48
2022-02-10,48
2022-02-11,44
2022-02-12,40
2022-02-13,38
2022-02-14,42
2022-02-15,42
2022-02-16,38
2022-02-17,41
2022-02-18,43
2022-02-19,38
2022-02-20,44
2022-02-21,47
2022-02-22,51
2022-02-23,42
2022-02-24,83
2022-02-25,55
2022-02-26,43
2022-02-27,43
2022-02-28,56
2022-03-01,62
2022-03-02,52
2022-03-03,46
2022-03-04,45
2022-03-05,42
2022-03-06,39
2022-03-07,47
2022-03-08,43
2022-03-09,49
2022-03-10,44
2022-03-11,41
2022-03-12,36
2022-03-13,35
2022-03-14,39
2022-03-15,36
2022-03-16,37
2022-03-17,37
2022-03-18,35
2022-03-19,34
2022-03-20,32
2022-03-21,34
2022-03-22,38
2022-03-23,36
2022-03-24,40
2022-03-25,40
2022-03-26,35
2022-03-27,37
2022-03-28,49
2022-03-29,41
2022-03-30,38
2022-03-31,38
2022-04-01,37
2022-04-02,34
2022-04-03,33
2022-04-04,34
