Day,Bitcoin
2021-01-01,29
2021-01-02,50
2021-01-03,60
2021-01-04,50
2021-01-05,40
2021-01-06,46
2021-01-07,66
2021-01-08,64
2021-01-09,52
2021-01-10,49
2021-01-11,74
2021-01-12,56
2021-01-13,48
2021-01-14,50
2021-01-15,45
2021-01-16,37
2021-01-17,34
2021-01-18,31
2021-01-19,32
2021-01-20,30
2021-01-21,37
2021-01-22,40
2021-01-23,30
2021-01-24,27
2021-01-25,28
2021-01-26,26
2021-01-27,29
2021-01-28,29
2021-01-29,45
2021-01-30,33
2021-01-31,27
2021-02-01,28
2021-02-02,25
2021-02-03,27
2021-02-04,28
2021-02-05,26
2021-02-06,31
2021-02-07,27
2021-02-08,59
2021-02-09,71
2021-02-10,47
2021-02-11,45
2021-02-12,42
2021-02-13,35
2021-02-14,39
2021-02-15,39
2021-02-16,44
2021-02-17,50
2021-02-18,45
2021-02-19,49
2021-02-20,57
2021-02-21,49
2021-02-22,58
2021-02-23,71
2021-02-24,53
2021-02-25,43
2021-02-26,44
2021-02-27,37
2021-02-28,41
2021-03-01,39
2021-03-02,35
2021-03-03,33
2021-03-04,32
2021-03-05,31
2021-03-06,27
2021-03-07,29
2021-03-08,29
2021-03-09,37
2021-03-10,35
2021-03-11,33
2021-03-12,32
2021-03-13,44
2021-03-14,41
2021-03-15,36
2021-03-16,34
2021-03-17,33
2021-03-18,32
2021-03-19,29
2021-03-20,27
2021-03-21,29
2021-03-22,30
2021-03-23,30
2021-03-24,35
2021-03-25,36
2021-03-26,29
2021-03-27,28
2021-03-28,26
2021-03-29,29
2021-03-30,32
2021-03-31,30
2021-04-01,32
2021-04-02,29
2021-04-03,28
2021-04-04,26
2021-04-05,28
2021-04-06,27
2021-04-07,27
2021-04-08,25
2021-04-09,24
2021-04-10,28
2021-04-11,27
2021-04-12,28
2021-04-13,38
2021-04-14,41
2021-04-15,34
2021-04-16,36
2021-04-17,30
2021-04-18,56
2021-04-19,43
2021-04-20,40
2021-04-21,32
2021-04-22,38
2021-04-23,58
2021-04-24,41
2021-04-25,37
2021-04-26,38
2021-04-27,34
2021-04-28,32
2021-04-29,29
2021-04-30,29
2021-05-01,28
2021-05-02,26
2021-05-03,29
2021-05-04,29
2021-05-05,29
2021-05-06,27
2021-05-07,27
2021-05-08,27
2021-05-09,28
2021-05-10,29
2021-05-11,28
2021-05-12,29
2021-05-13,67
2021-05-14,42
2021-05-15,34
2021-05-16,37
2021-05-17,53
2021-05-18,41
2021-05-19,100
2021-05-20,79
2021-05-21,60
2021-05-22,53
2021-05-23,63
2021-05-24,57
2021-05-25,46
2021-05-26,40
2021-05-27,35
2021-05-28,37
2021-05-29,36
2021-05-30,35
2021-05-31,33
2021-06-01,31
2021-06-02,31
2021-06-03,31
2021-06-04,34
2021-06-05,29
2021-06-06,32
2021-06-07,31
2021-06-08,42
2021-06-09,38
2021-06-10,33
2021-06-11,29
2021-06-12,26
2021-06-13,27
2021-06-14,33
2021-06-15,28
2021-06-16,25
2021-06-17,23
2021-06-18,24
2021-06-19,22
2021-06-20,24
2021-06-21,34
2021-06-22,45
2021-06-23,32
2021-06-24,28
2021-06-25,27
2021-06-26,27
2021-06-27,25
2021-06-28,26
2021-06-29,26
2021-06-30,23
2021-07-01,22
2021-07-02,21
2021-07-03,21
2021-07-04,21
2021-07-05,21
2021-07-06,20
2021-07-07,18
2021-07-08,20
2021-07-09,19
2021-07-10,17
2021-07-11,16
2021-07-12,18
2021-07-13,18
2021-07-14,19
2021-07-15,19
2021-07-16,19
2021-07-17,18
2021-07-18,18
2021-07-19,21
2021-07-20,27
2021-07-21,24
2021-07-22,22
2021-07-23,19
2021-07-24,20
2021-07-25,20
2021-07-26,37
2021-07-27,26
2021-07-28,26
2021-07-29,22
2021-07-30,22
2021-07-31,23
2021-08-01,21
2021-08-02,21
2021-08-03,20
2021-08-04,19
2021-08-05,20
2021-08-06,22
2021-08-07,24
2021-08-08,24
2021-08-09,26
2021-08-10,25
2021-08-11,25
2021-08-12,24
2021-08-13,23
2021-08-14,22
2021-08-15,22
2021-08-16,22
2021-08-17,21
2021-08-18,21
2021-08-19,20
2021-08-20,23
2021-08-21,22
2021-08-22,21
2021-08-23,26
2021-08-24,23
2021-08-25,22
2021-08-26,21
2021-08-27,19
2021-08-28,18
2021-08-29,17
2021-08-30,18
2021-08-31,19
