,Real,Predicted
2022-02-12,42407.9375,42758.914
2022-02-13,42244.46875,43822.15
2022-02-14,42197.51563,44987.152
2022-02-15,42586.91797,46732.414
2022-02-16,44575.20313,48496.53
2022-02-17,43961.85938,49405.008
2022-02-18,40538.01172,50024.598
2022-02-19,40030.97656,50153.07
2022-02-20,40122.15625,50009.53
2022-02-21,38431.37891,49362.99
2022-02-22,37075.28125,48762.355
2022-02-23,38286.02734,47953.56
2022-02-24,37296.57031,47263.566
2022-02-25,38332.60938,46366.562
2022-02-26,39214.21875,45198.773
2022-02-27,39105.14844,43957.82
2022-02-28,37709.78516,42462.223
2022-03-01,43193.23438,41032.234
2022-03-02,44354.63672,40752.25
2022-03-03,43924.11719,40798.03
2022-03-04,42451.78906,40906.22
2022-03-05,39137.60547,41307.098
2022-03-06,39400.58594,42132.758
2022-03-07,38419.98438,42762.434
2022-03-08,38062.03906,43470.715
2022-03-09,38737.26953,43852.81
2022-03-10,41982.92578,44139.25
2022-03-11,39437.46094,44254.406
2022-03-12,38794.97266,44569.13
2022-03-13,38904.01172,43004.95
2022-03-14,37849.66406,41461.258
2022-03-15,39666.75391,40639.61
2022-03-16,39338.78516,40141.805
2022-03-17,41143.92969,40176.973
2022-03-18,40951.37891,40207.477
2022-03-19,41801.15625,40196.867
2022-03-20,42190.65234,40298.58
2022-03-21,41247.82422,40375.98
2022-03-22,41077.99609,40207.613
2022-03-23,42358.80859,40393.266
2022-03-24,42892.95703,40631.406
2022-03-25,43960.93359,40970.527
2022-03-26,44348.73047,41286.145
2022-03-27,44500.82813,41835.242
2022-03-28,46820.49219,42414.26
2022-03-29,47128.00391,43052.83
2022-03-30,47465.73047,44086.258
2022-03-31,47062.66406,45237.992
2022-04-01,45538.67578,46470.582
2022-04-02,46281.64453,47935.285
2022-04-03,45868.94922,49692.668
