,Predicted
2022-02-12,40413.156
2022-02-13,39658.6
2022-02-14,38621.832
2022-02-15,38909.176
2022-02-16,40230.516
2022-02-17,40799.832
2022-02-18,40083.605
2022-02-19,38861.734
2022-02-20,37215.87
2022-02-21,37252.27
2022-02-22,37789.727
2022-02-23,36068.375
2022-02-24,34944.01
2022-02-25,35835.633
2022-02-26,35706.492
2022-02-27,36835.04
2022-02-28,38601.195
2022-03-01,39522.89
2022-03-02,38853.9
2022-03-03,41750.297
2022-03-04,40407.508
2022-03-05,38290.547
2022-03-06,38711.973
2022-03-07,38478.64
2022-03-08,36305.496
2022-03-09,34856.8
2022-03-10,32958.402
2022-03-11,34703.617
2022-03-12,35752.47
2022-03-13,37459.668
2022-03-14,39038.934
2022-03-15,39271.035
2022-03-16,39632.53
2022-03-17,38611.203
2022-03-18,38973.832
2022-03-19,38910.566
2022-03-20,38507.68
2022-03-21,39000.24
2022-03-22,39124.523
2022-03-23,39261.047
2022-03-24,39285.92
2022-03-25,39675.684
2022-03-26,40908.473
2022-03-27,40763.504
2022-03-28,40163.4
2022-03-29,41077.71
2022-03-30,43479.766
2022-03-31,42173.727
2022-04-01,41961.125
2022-04-02,41632.477
2022-04-03,42099.8
