,Real,Predicted
2022-02-11,43565.11328,49636.32
2022-02-12,42407.9375,49362.53
2022-02-13,42244.46875,49093.53
2022-02-14,42197.51563,49056.523
2022-02-15,42586.91797,49269.723
2022-02-16,44575.20313,49646.76
2022-02-17,43961.85938,49923.39
2022-02-18,40538.01172,49858.99
2022-02-19,40030.97656,50041.63
2022-02-20,40122.15625,50066.312
2022-02-21,38431.37891,50025.516
2022-02-22,37075.28125,50636.926
2022-02-23,38286.02734,50916.758
2022-02-24,37296.57031,51792.02
2022-02-25,38332.60938,50974.04
2022-02-26,39214.21875,42100.625
2022-02-27,39105.14844,47267.105
2022-02-28,37709.78516,62777.36
2022-03-01,43193.23438,55193.62
2022-03-02,44354.63672,50278.32
2022-03-03,43924.11719,49470.492
2022-03-04,42451.78906,49086.06
2022-03-05,39137.60547,48767.695
2022-03-06,39400.58594,48642.85
2022-03-07,38419.98438,48662.586
2022-03-08,38062.03906,48973.133
2022-03-09,38737.26953,49375.02
2022-03-10,41982.92578,49593.258
2022-03-11,39437.46094,49918.688
2022-03-12,38794.97266,49776.08
2022-03-13,38904.01172,49621.605
2022-03-14,37849.66406,49741.062
2022-03-15,39666.75391,49968.973
2022-03-16,39338.78516,49982.727
2022-03-17,41143.92969,49844.49
2022-03-18,40951.37891,49969.68
2022-03-19,41801.15625,50037.78
2022-03-20,42190.65234,50198.434
2022-03-21,41247.82422,50334.668
2022-03-22,41077.99609,50303.12
2022-03-23,42358.80859,51340.984
2022-03-24,42892.95703,51158.008
2022-03-25,43960.93359,50553.07
2022-03-26,44348.73047,51448.906
2022-03-27,44500.82813,51426.3
2022-03-28,46820.49219,51979.87
2022-03-29,47128.00391,52869.754
2022-03-30,47465.73047,53067.81
2022-03-31,47062.66406,53118.355
2022-04-01,45538.67578,51982.49
2022-04-02,46281.64453,50682.07
2022-04-03,45868.94922,50541.027
